0,2.66
1,3.46
2,5.43
3,8.37
4,12.79
5,14.93
6,18.34
7,25.81
8,25.55
9,26.26
10,24.46
11,20.77
12,14.89
13,8.61
14,4.58
15,2.94
16,2.12
17,1.67
18,1.36
19,1.08
20,1.01
21,0.92
22,1.04
23,0.89
24,0.94
25,0.96
26,1.03
27,1.05
28,0.83
29,0.96
30,0.93
31,1.03
32,1.13
33,1.21
